STYLE,5 Full-bodied to 1 light,flavor,color,color non-standard,bitterness,Vanilla,Fruity,Nutty,Caramel,Citrus,Coffee,Chocolate,Toasty,Spices,Florals,Toffee,Dark Fruit,Malt,Roasty,Rustic,Smokey,Toast,Honey,Herbal,Grassy,Hops,Mineral,Dry,Crisp,Creamy,Refreshing,Clean,Carbonation,Rye,Corny,Wheat,Grainy,Earthy,Light Fruit,Pepper,Bitter Chocolate,Bitterness,Sour
Lite American Lager,1,1,0.357142857,2.5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
Standard American Lager,1,1,0.428571429,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
Premium American Lager,2,1,0.571428571,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
Munich Helles,2,2,0.571428571,4,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Dortmunder Export,3,2,0.714285714,5,3,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
German Pilsner (Pils),2,3,0.5,3.5,3,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Bohemian Pilsener,3,3,0.678571429,4.75,3,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Classic American Pilsner,3,3,0.642857143,4.5,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
Vienna Lager,2,3,1.857142857,13,4,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Oktoberfest/M_rzen,4,4,1.5,10.5,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
