  0-00000-00000,  ABBEY DE LEFFE BLONDE
  0-00000-00000,  ABBEY DE LEFFE BRUNE
  0-09191-71109,  ACME CALIFORNIA IPA
  0-09450-01160,  AMSTEL LIGHT LAGER 12PK
  0-09450-07097,  AMSTEL LIGHT LAGER 6PK
  0-00000-00000,  AMSTEL WHEAT 12PK
  0-00000-00000,  AMSTEL WHEAT 6PK
  0-09468-12019,  ANCHOR LIBERTY 6PK NR
  0-13964-17100,  ANCHOR PORTER 6PK NR
  0-13964-17101,  ANCHOR SSNL HUMMING ALE
  0-13964-17102,  ANCHOR STEAM 6PK NR
  0-13964-17110,  ANCHOR STEAM SEASONAL 6PK
  0-13964-17112,  ANDERSON V BOONT AMBER
  0-18200-12982,  ANDERSON V HOP OTTIN BTLS
  0-18200-18999,  ANDERSON V OATMEAL STOUT
  0-21242-31203,  ANDERSON V WINTER SOLS BT
  0-00000-00000,  ANGRY ORCHARD APPLE GNGR
  0-01497-42000,  ANGRY ORCHARD CRISP APPLE
  0-14974-40012,  ANGRY ORCHARD CRISP APPLE
  0-14974-01750,  ANGRY ORCHARD TRAD DAY
  0-18200-00169,  ASAHI DRAFT
  0-07789-00001,  ASAHI SUPER DRY DRAFT 6PK
  0-19988-00920,  AUTUMN FRST BLKBRY MERLOT
  0-19988-00925,  AUTUMN FRST PEACH CHARD
  0-19988-00926,  AUTUMN FRST STR WT ZINF
  0-13160-41150,  AVENTINUS SNGL BTL
  0-34100-00622,  AYINGER DUNKEL
  0-40063-17501,  AYINGER UR-WEISSE
  0-49483-26069,  AYINGER WEIZEN BOCK
  0-18200-00025,  BACARDI MOJITO 6PK/12Z
  0-18200-00915,  BACARDI PLUS CHERRY 4PK
  0-18200-06992,  BACARDI PLUS GRAPE 4PK
  0-18200-10985,  BACARDI SILVER RAZ 6P/12Z
  0-00000-00000,  BARD S GF MALT BEER
  0-09439-21540,  BASS BLACK & TAN
  0-09439-22532,  BASS IPA
  0-18200-16995,  BASS PALE ALE 12PK
  0-17698-01102,  BASS PALE ALE 6PK
  0-30613-00016,  BATCH 19
  0-18200-12998,  BATCH 19
  0-34100-47805,  BEAR REPUBLIC RACER 5 6PK
  0-80020-30205,  BEAR REPUBLIC RACER 5 IPA
  0-18200-20982,  BECKS BEER 12PK NR
  0-18200-00564,  BECKS BEER 6PK NR
  0-56910-79044,  BECKS BEER SNGL BTL
  0-20507-00039,  BECKS DARK BEER 12PK NR
  0-18200-18996,  BECKS DARK BEER 6PK NR
  0-18200-00157,  BECKS NA 6PK BTLS
  0-70897-01325,  BECKS SAPPHIRE 12PK NR
  0-20507-01006,  BECKS SAPPHIRE 6PK NR
  0-77890-22250,  BEER & WINE COOLER BLA-I-
  0-77890-22252,  BEER & WINE COOLER SHRINK
  0-72311-13721,  BEERS OF MEXICO VARIETY
  0-72311-23012,  BEST OF BELGIUM
  0-41990-60002,  BITBURGER PREMIUM 6PK NR
  0-00000-00000,  BLUE MOON 24PK BTLS
  0-41827-90016,  BLUE MOON BEL ALE 6PK
  0-18200-19990,  BLUE MOON BEL WHT 12PK CN
  0-18200-19991,  BLUE MOON BELG WHT 12PK B
  0-83783-00008,  BLUE MOON BELGIAN WHITE
  0-41827-90036,  BLUE MOON PALE MOON 6PK
  0-18200-19999,  BLUE MOON SSNL 12PK BTLS
  0-41827-90046,  BLUE MOON SSNL 6PK BTLS
  0-18200-20983,  BLUE MOON VARIETY 12PK NR
  0-83783-66000,  BLUE MOON VINTAGE RED
  0-50939-61210,  BLUE POINT BLUEBERRY 6PK
  0-50939-61211,  BLUE POINT HOPTICAL ILLUS
  0-60878-25020,  BLUE POINT TOASTED LAGER
  0-49483-11200,  BODDINGTONS PUB ALE 4PK
  0-20604-33000,  BOULDER VARIETY 12PK
  0-72783-00050,  BRECKENRIDGE 471 - IPA
  0-72783-00100,  BRECKENRIDGE AGAVE WHEAT
  0-72783-00300,  BRECKENRIDGE AVALANCE
  0-72890-00006,  BRECKENRIDGE LUCKY U IPA
  0-76420-81112,  BRECKENRIDGE VANILLA PORT
  0-21242-12003,  BRECKENRIDGE VARIETY 12PK
  0-80020-24221,  BROOKLYN BLACK CHOC STOUT
  0-80020-35332,  BROOKLYN BROWN ALE 6PK NR
  0-80020-35333,  BROOKLYN EIPA 6PK
  0-21242-12009,  BROOKLYN LAGER
  0-00000-00000,  BROOKLYN LAGER 24PK BTLS
  0-80069-06129,  BROOKLYN LAGER 6PK NR
  0-95301-13028,  BROOKLYN LOCAL 1
  0-95301-13037,  BROOKLYN LOCAL 2
  0-81780-40016,  BROOKLYN MONSTER BARLEY W
  0-81780-70101,  BROOKLYN PENNANT PALE ALE
  0-82153-15743,  BROOKLYN PILSNER 6PK NR
  0-82393-00033,  BROOKLYN SEASONAL 6PK NR
  0-95301-13045,  BROOKLYN SORACHI ACE
  0-24866-47000,  BROOKLYN VARIETY 12PK NR
  0-18200-00270,  BUCKLER NA 6PK BTLS NR
  0-00000-00000,  BUD LIGHT     6PK/16Z CAN
  0-18200-00771,  BUD LIGHT 12P/12Z BTL NR
  0-18200-00977,  BUD LIGHT 12P/12Z CANS
  0-18200-11218,  BUD LIGHT 18PK BTLS
  0-18200-53025,  BUD LIGHT 18PK/16Z CANS
  0-18200-53182,  BUD LIGHT 20PK BTLS
  0-18200-11168,  BUD LIGHT 24PK BTLS NR
  0-18200-11030,  BUD LIGHT 30PK CANS
  0-18200-00018,  BUD LIGHT 6P/12Z BTLS NR
  0-00000-00000,  BUD LIGHT LIMA-A-RITA
  0-18200-00884,  BUD LIGHT LIME 12PK BTLS
  0-18200-00891,  BUD LIGHT LIME 12PK CANS
  0-18200-41218,  BUD LIGHT LIME 18PK CANS
  0-18200-41381,  BUD LIGHT LIME 18PK NR
  0-18200-14991,  BUD LIGHT LIME 6P/12Z BTL
  0-18200-00064,  BUD LIGHT LIME SNGL BTL
  0-18200-00266,  BUD LIGHT LIME-A-RITA
  0-18200-02990,  BUD LIGHT PLATINUM
  0-18200-18993,  BUD LIGHT PLATINUM
  0-18200-00473,  BUD LIGHT SNGL BTL NR
  0-18200-00481,  BUD LIGHT SNGL CAN
  0-00000-00000,  BUD SELECT 55
  0-18200-08989,  BUDWEISER 12P/12Z CANS
  0-18200-11047,  BUDWEISER 12P/12Z NR
  0-18200-53218,  BUDWEISER 18PK BTLS
  0-18200-96200,  BUDWEISER 18PK/16Z CANS
  0-18200-53349,  BUDWEISER 24PK BTLS NR
  0-18200-53030,  BUDWEISER 30PK CANS
  0-18200-00646,  BUDWEISER 6P/16Z CANS
  0-18200-00834,  BUDWEISER 6PK LN BTLS
  0-38075-20250,  BUDWEISER BEER BTL NR
  0-18200-00745,  BUDWEISER BEER SNGL CAN
  0-18200-16981,  BUDWEISER PROJECT 12
  0-18200-20986,  BUDWEISER SELECT 55 12 NR
  0-18200-96665,  BUDWEISER SELECT 55 18PK
  0-18200-16702,  BUDWEISER SELECT 55 6PK
  0-82393-00039,  BUFFALO BILLS ALIMONY ALE
  0-18200-00801,  BUSCH BEER 12PK CANS
