Substyle,Producer,Beer Name,Description,Photo ID
American IPA,21st Amendment Brewery,Brew Free! Or Die IPA,"IPA withy a solid malt backbone & hoppy flavor. Like Abe, we believe in freedom. Freedom from the notion that IPAs should only assail you with bitterness. And from the idea that a big, balanced, hoppy beer can't possibly come in a can. We believe that those who have tasted freedom shall forever brew free. Celebrating the right to be original. To us, the 21st Amendment means much more than just an end to prohibition. It means the right to brew beer, the freedom to be innovative, and the obligation to have fun. When we opened the 21st Amendment brewpub in San Francisco, we vowed to do things differently: Shaun O'Sullivan; Nico Freccia. Why cans? A Six-Pack of Good Reasons: 1. Cans use less energy to produce, to transport and to chill. 2. Cans are easier to recycle and recycled more often than glass. 3. Exposure to light ruins a good beer - cans keep the light out and the good in. 4. Cans are lined so they don't affect the flavor of the beer. 5. Feel that? Cans weigh less than glass. 6. Cans go where glass is banned - pool's, beaches, boats, gold courses, stadiums, parks. Some of our favorite beers never seem to make it out of the brewpub. Stop by next time you're in San Francisco's soma district and see what's on tap. 70 IBUs. 7% alc./vol.",859612001031
American Wheat or Rye Beer,21st Amendment Brewery,Hell Or High Watermelon,"Seasonal release. Wheat beer fermented with watermelon concentrate, with added watermelon juice. Like Lady Liberty, we stand for independence and perseverance. In the pursuit of innovative beer, there is no obstacle too great. No journey too long. No fruit too gigantic. This American wheat beer is brewed with real watermelon, for a flavor that's surprisingly crisp, dry and refreshing - summer in a can. Celebrating the right to be original. To us, the 21st Amendment means much more than just an end to prohibition. It means the right to brew beer, the freedom to be innovative, and the obligation to have fun. When we opened the 21st Amendment brewpub in San Francisco, we vowed to do things differently: Shaun O'Sullivan; Nico Freccia. Why cans? A Six-Pack of Good Reasons: 1. Cans use less energy to produce, to transport and to chill. 2. Cans are easier to recycle and recycled more often than glass. 3. Exposure to light ruins a good beer - cans keep the light out and the good in. 4. Cans are lined so they don't affect the flavor of the beer. 5. Feel that? Cans weigh less than glass. 6. Cans go where glass is banned - pool's, beaches, boats, gold courses, stadiums, parks. Some of our favorite beers never seem to make it out of the brewpub. Stop by next time you're in San Francisco's soma district and see what's on tap. 4.9% alc/vol.",859612001024
American IPA,21st Amendment Brewery,Back In Black,"American IPA brewed with rich dark malts. Inspired by Paul Revere's midnight ride, we rebelled against the British IPA, embraced the more aggressive American version and then recast it in bold, brave, defiant black. Our black IPA is a declaration of independence from the tyranny of the expected. Celebrating the right to be original. To us, the 21st Amendment means much more than just an end to prohibition. It means the right to brew beer, the freedom to be innovative, and the obligation to have fun. When we opened the 21st Amendment brewpub in San Francisco, we vowed to do things differently. Cheers!: Shaun O'Sullivan; Nico Freccia. Why cans? A Six-Pack of Good Reasons: 1. Cans use less energy to produce, to transport and to chill. 2. Cans are easier to recycle and recycled more often than glass. 3. Exposure to light ruins a good beer - cans keep the light out and the good in. 4. Cans are lined so they don't affect the flavor of the beer. 5. Feel that? Cans weigh less than glass. 6. Cans go where glass is banned - pool's, beaches, boats, gold courses, stadiums, parks. Some of our favorite beers never seem to make it out of the brewpub. Stop by next time you're in San Francisco's soma district and see what's on tap. 65 IBUs. 6.8% alc./vol.",859612001079
Doppelbock,Abita Brewing Company,Andygator Helles Doppelbock,"Brewed with spring water. The Andygator is a fearsome beast - much too big for any little bottle. Don't let his toothy grin, slightly sweet flavor and subtle fruit aroma fool you: this cold-blooded creature is a Helles Doppelbock that can sneak up on you. Sip, don't gulp and taste the wild of Abita Andygator. Live it. Love it. Wear it. Alc. 8% by vol.",080020500025
Vienna Lager,Abita Brewing Company,Amber,"Brewed & bottled with pure spring water. Live it. Love it. Wear it. Beer doesn't grow on trees. But paper six-pack wraps do and that's why Abita's packaging uses 50% less paper than others and is made with recycled-content paper. The Abita Brewing Company works hard to make great beer and do right by the environment every day. Brewed & bottled by Abita Brewing Company LLC, Abita Springs, LA.",080020242215
Northern English Brown Ale,Abita Brewing Company,Turbo Dog Ale,"Brewed with spring water. Turbo Dog is a dark brown ale brewed with pale, caramel, and chocolate malts and Willamette hops. This combination gives Turbo Dog its rich body and color and a sweet chocolate, toffee-like flavor. Every Abita brew is all natural and handcrafted using the pristine artesian water of Abita Springs, Louisiana that is naturally perfect for brewing. Live it. Love it. Wear it. Brewed & bottled by Abita Brewing Company LLC, Abita Springs, LA.",080020353324
Extra Special/Strong Bitter (English Pale Ale),AleSmith Brewing Company,Anvil ESB,"Hey bartender, drop an Anvil on me! AleSmith Anvil Ale is a traditional English-style ESB (Extra Special Bitter). Although the flavor is not particularly bitter, the name refers to the times when there were Porters and Stouts (very dark, usually sweet ales) and there were Bitters (lighter, drier, and a bit more hoppy). We brew our award-winning ESB using only premium-quality malts and the freshest hops, and ferment it with our championship yeast strain. Even the water we use is precisely conditioned to match the famous waters of Burton-on-Trent, England, home of some of the most savory ales in the world. The brewer's yeast in the bottom of the bottle is living proof that this is a top-quality bottle-conditioned beer. Conditioning in the bottle gives the beer a lush, velvety texture that you just can't get with force-carbonating. The bubbles are smaller, giving your taste buds a lot more to grab onto, and the difference shows from the first sip to the last. Bottled & brewed by AleSmith Brewing Co., San Diego, CA.",812465000033
Belgian Dark Strong Ale,AleSmith Brewing Company,Grand Cru,"First place California State Fair. Grand Cru is a term designating excellence and is reserved for the finest offering from a brewery. AleSmith Grand Cru is brewed once per year in small batches for limited vintage release. AleSmith Grand Cru is a complex, amber-colored, malty Belgian-style ale. It is brewed using only the finest imported malts, hops and candi sugar, along with an authentic yeast strain from a Belgian Trappist Monastery. Traditionally bottle-conditioned, the secondary fermentation occurring in the bottle gives this ale a natural effervescence. Taste this truly Grand Cru and you'll agree: AleSmith's hand-forged ales are crafted to perfection. 10% alcohol by volume. Brewed & bottled by AleSmith Brewing Co., San Diego, CA.",812465001030
Belgian Dark Strong Ale,AleSmith Brewing Company,Horny Devil,"Belgian-style ale brewed with coriander. A huge, complex Belgian-Style Ale spiced with coriander, Horny Devil is brewed with Belgian Candi Sugar and yeast from a Trappist monastery. The resulting aromas and flavors intrigue and delight the palate. It is AleSmith's most award-winning beer, earning judges' comments like amazing, and best beer I've ever had. Taste for yourself and you'll agree: AleSmith ales are hand-forged to perfection. Silver Medal. 1998 Great American Beer Festival. 11% alc by vol. Brewed & bottled by AleSmith Brewing Co., San Diego, CA.",812465006660
American IPA,AleSmith Brewing Company,India Pale,"I prefer AleSmith. It's pretty awesome. That's what our People's Choice Award says to us. Each year at the San Diego Real Ale Festival, everyone is asked to vote for their favorite beer. In 2001, they chose AleSmith IPA over all the others. If you like your beer hoppy, you're gonna love this one! AleSmith IPA is brewed using only premium-quality malts, along with pounds and pounds of the freshest hops and our championship yeast strain. Even the water we use is precisely conditioned to make sure everything is just right for the best possible product. The result is a hoppy, malty hand-forged American-style IPA with a tantalizing aroma and a flavor that'll have your taste buds in ecstasy! The brewer's yeast at the bottom of the bottle is living proof that this is a top-quality bottle-conditioned beer. Conditioning in the bottle gives the beer a lush, velvety texture that you just can't get with force-carbonating. The bubbles are smaller, giving your taste buds a lot more surface area to grab onto, and the difference shows from the first sip to the last. Alcohol 7.25% by volume. Brewed & bottled by AleSmith Brewing Co., San Diego, CA.",812465000057
